"Gene"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000087374"	29.074492302048	4.40642532220846	1.11336474023613	3.95775540841531	7.56573708595494e-05	0.00727675719233057
"ENSMUSG00000099608"	75.9409233845442	3.58486671747939	0.922979841185787	3.8840141003229	0.000102745945095712	0.00818435668903032
"ENSMUSG00000087162"	1162.70571459287	4.80476041175569	1.06598223973744	4.50735503148641	6.56407489368241e-06	0.00292143009434859
"ENSMUSG00000102936"	1065.61680796004	3.57091591705937	0.944152789839477	3.78213775936254	0.000155487267346558	0.00962407834245066
"ENSMUSG00000103766"	104.140919365958	3.65237539431089	0.915379792833443	3.99001094726531	6.60702457462239e-05	0.0069849388144389
"ENSMUSG00000097539"	474.587753705689	3.75864905273201	0.958208133070397	3.92258103747057	8.7605413330252e-05	0.0077318477063595
"ENSMUSG00000105812"	64.4710531978403	4.74019795166424	1.0965998784007	4.32263220617663	1.54178637543682e-05	0.00411074888307683
"ENSMUSG00000106150"	58.2688627422665	4.02735103601774	1.03642258308425	3.88581945410037	0.000101985283551632	0.00818435668903032
"ENSMUSG00000027973"	3419.07244510421	3.82173950011182	0.971696155956089	3.93306022328704	8.38712138193521e-05	0.00768092580456619
"ENSMUSG00000105838"	39.538437279747	3.00862247814442	0.774592928019593	3.88413367759061	0.000102695397686036	0.00818435668903032
"ENSMUSG00000102569"	119.262133214264	3.94125500136671	0.978262843790669	4.02883031527063	5.60550586645549e-05	0.00636709431120143
"ENSMUSG00000104705"	349.982356630628	5.35557445707119	1.14350618622531	4.68346784790893	2.82061715027504e-06	0.00186069259461074
"ENSMUSG00000107256"	233.148988185934	4.85827816382464	1.09390866487932	4.44121005692978	8.94544188869087e-06	0.00338338158835311
"ENSMUSG00000108194"	2477.28964222534	3.89868768852741	0.988432604775238	3.94431311724479	8.00290354410575e-05	0.00752225249249136
"ENSMUSG00000108227"	630.394955907559	4.42530471220193	1.05658530991354	4.18830800568677	2.81041925492503e-05	0.00480428306888076
"ENSMUSG00000107042"	602.21710920039	4.16779349706176	1.09931315207378	3.79127047575069	0.00014987862087624	0.00947516950020549
"ENSMUSG00000045587"	4685.0379969162	4.40707021884993	1.02267177498502	4.30936917068479	1.63720876282466e-05	0.00421153178906796
"ENSMUSG00000058717"	2044.84850410734	4.0787956708264	1.00639502806415	4.052877406074	5.05915167585437e-05	0.00611437732065865
"ENSMUSG00000074067"	594.472001179177	3.92431495172552	0.988558894355683	3.96973308735772	7.19531888215634e-05	0.00709486521732209
"ENSMUSG00000108548"	175.108329495335	5.16526713808966	1.19999917796979	4.30439223035843	1.67444777216818e-05	0.00424562734538947
"ENSMUSG00000108448"	1430.19534320576	3.86158149756248	0.999374703590036	3.86399764141577	0.000111546298647677	0.00857907807205018
"ENSMUSG00000108676"	485.363062105646	4.28236870810559	1.05243068231034	4.06902685382066	4.72099064674546e-05	0.00597185710548582
"ENSMUSG00000110443"	420.660081369979	4.4992385918928	1.02836407615433	4.37514173843778	1.21353599635362e-05	0.00381789274995353
"ENSMUSG00000072574"	31.6050515371277	3.66605862442921	0.930741062183661	3.9388598756222	8.18697247173473e-05	0.00761402796537284
"ENSMUSG00000111056"	218.088491697997	3.60820514498142	0.951351116165256	3.79271657295733	0.000149008196159486	0.00947516950020549
"ENSMUSG00000098937"	39.894972075143	6.91966103245682	1.6254412667478	4.25709693362329	2.07098577203617e-05	0.00460400431642618
"ENSMUSG00000101042"	418.06962931389	4.43009500371205	1.01474808797388	4.36570914122881	1.26710997250086e-05	0.00381789274995353
"ENSMUSG00000114035"	125.371694159428	4.44120102526025	1.0562693816328	4.20461020880391	2.61532480981671e-05	0.0047498986536271
"ENSMUSG00000113211"	491.861814779993	4.24696174767486	1.03240609650774	4.11365427038914	3.89444568534664e-05	0.00556531441086916
"ENSMUSG00000113927"	196.931573413688	5.28520847205431	1.25057927999601	4.22620825132429	2.3766205868475e-05	0.00467544597970478
"ENSMUSG00000097553"	439.627123368418	4.17184381616477	0.966244971736116	4.31758398563146	1.57746392766505e-05	0.00413369262315892
"ENSMUSG00000048814"	25.1085970177146	-6.40846984917688	1.56797428230001	-4.08710137756629	4.36796284340753e-05	0.00585226821303306
"ENSMUSG00000026080"	18.4645927914943	-4.73794020821082	1.21795869256931	-3.89006641778304	0.00010021678891241	0.00814486534584075
"ENSMUSG00000026078"	241.648047832833	-4.2525121090624	1.05679892911651	-4.0239557326364	5.72286787740809e-05	0.00636709431120143
"ENSMUSG00000003134"	42.7344624528193	-4.12711077239967	0.979220571370075	-4.21468961444022	2.50121936215884e-05	0.00467544597970478
"ENSMUSG00000073676"	1891.95267613932	-4.15493162549365	1.04171320457074	-3.98855616619141	6.64766646039802e-05	0.0069849388144389
"ENSMUSG00000025959"	178.440269089759	-4.88081594212073	1.24742844575432	-3.91270213432507	9.12690854629017e-05	0.00782597519050244
"ENSMUSG00000026185"	44.3051583863319	-5.1164756495179	1.33563382268023	-3.83074729213626	0.000127754663345089	0.00911636626651236
"ENSMUSG00000026177"	18.9452597884653	-4.04792762627666	1.05998049736503	-3.81886990971936	0.000134064435544049	0.00911636626651236
