Id,Label,Degree,Betweenness,Expression,,,,,,Label,Betweenness,,
ENSMUSP00000021090,Grb2,164,397985.38,80.21692202,,,,,,Grb2,397985.38,,
ENSMUSP00000125806,Rpl10-ps3,147,344614.58,1135.392416,,,,,,Rpl10-ps3,344614.58,,
ENSMUSP00000067013,Rhob,109,182252.05,101.2456951,,,,,,Rps27a,271397.31,,
ENSMUSP00000034973,Smad3,89,248831.11,53.09104635,,,,,,Smad3,248831.11,,
ENSMUSP00000028288,Notch1,80,200265.37,10.00387088,,,,,,Notch1,200265.37,,
ENSMUSP00000022971,Myc,76,172716.54,135.7879145,,,,,,Uba52,183823.77,,
ENSMUSP00000084586,Hspa1a,65,78172.91,905.8068355,,,,,,Rhob,182252.05,,
ENSMUSP00000007708,Ppp2r1a,62,132847.93,233.7387416,,,,,,Myc,172716.54,,
ENSMUSP00000108371,Bcl2,59,111044.93,44.62411079,,,,,,Lpar3,148291.6,,
ENSMUSP00000025522,Pdgfrb,57,126612.91,34.21693174,,,,,,Ppp2r1a,132847.93,,
ENSMUSP00000037712,Lpar3,55,148291.6,44.8460604,,,,,,Edn1,132095.47,,
ENSMUSP00000019064,Cxcl16,53,83006.78,304.7473163,,ENSMUSG00000018920,,,,Pdgfrb,126612.91,,
ENSMUSP00000023353,Mcm4,52,90519.53,317.8629314,,,,,,Npsr1,125066.01,,
ENSMUSP00000052648,Ar,50,62082,246.9486282,,,,,,Pip4k2a,113836,,
ENSMUSP00000021796,Edn1,48,132095.47,11.92427479,,,,,,Bcl2,111044.93,,
ENSMUSP00000134735,Psme1,47,35081.9,728.4998177,,,,,,Mcm4,90519.53,,
ENSMUSP00000001566,Tubb5,44,67850.34,533.8994561,,,,,,Cxcl16,83006.78,,
ENSMUSP00000005671,Igf1r,42,82657.4,267.2762071,,,,,,Igf1r,82657.4,,
ENSMUSP00000021413,Nfkbia,39,80560.45,769.1283678,,,,,,Nfkbia,80560.45,,
ENSMUSP00000025729,Tnks2,39,29118.29,537.0505213,,,,,,Ubc,78504.98,,
ENSMUSP00000055308,Foxo1,37,68608.05,296.4646151,,,,,,Hspa1a,78172.91,,
ENSMUSP00000016771,Myh9,36,50766.9,37.60055155,,,,,,Foxo1,68608.05,,
ENSMUSP00000021530,Hif1a,35,59396.3,311.0144688,,,,,,Akt1,68199,,
ENSMUSP00000064878,Wnt5a,34,68037.52,41.01851766,,,,,,Wnt5a,68037.52,,
ENSMUSP00000049007,Ctnna1,34,52852.87,372.189173,,,,,,Tubb5,67850.34,,
ENSMUSP00000059129,Socs3,34,31102.73,141.1441812,,,,,,Adrb2,66135.19,,
ENSMUSP00000112430,Fgfr2,33,28762.1,73.86423613,,,,,,Ar,62082,,
ENSMUSP00000024954,Epas1,29,20865.37,161.1677187,,,,,,Src,61792,,
ENSMUSP00000038833,Ripk2,27,28693.6,104.5578086,,,,,,Hif1a,59396.3,,
ENSMUSP00000029948,Bmpr1b,27,25723.94,16.31116823,,,,,,Hsp90aa1,56334.53,,
ENSMUSP00000128401,Tap1,27,23279.97,22.25441474,,,,,,Ctnna1,52852.87,,
ENSMUSP00000028804,Cdc25b,26,26330.34,20.88505683,,,,,,Myh9,50766.9,,
ENSMUSP00000078746,Stk24,26,25648.79,105.7134105,,,,,,Traf3,48242.55,,
ENSMUSP00000021706,Traf3,25,48242.55,87.96725963,,,,,,Trp53,47460.08,,
ENSMUSP00000020702,Igfbp3,23,40733.63,115.9856247,,,,,,C3,46109.87,,
ENSMUSP00000099908,Rps27a,22,271397.31,0,,,,,,Stat1,44703.51,,
ENSMUSP00000099428,Thra,22,15068.15,89.66809167,,,,,,Axin1,42573.84,,
ENSMUSP00000081531,Dock1,21,10888.88,142.8288088,,,,,,Igfbp3,40733.63,,
ENSMUSP00000024967,Msh2,20,25241.16,211.2255959,,,,,,Rac1,39299.76,,
ENSMUSP00000063784,Adcyap1r1,19,36183.89,21.9469231,,,,,,Ctnnb1,38466.16,,
ENSMUSP00000034534,Ets1,19,28153.79,88.84056777,,,,,,Itgb3,38095.14,,
ENSMUSP00000080608,Uba52,18,183823.77,0,,,,,,Pten,36278.74,,
ENSMUSP00000114180,Ubc,18,78504.98,0,,,,,,Adcyap1r1,36183.89,,
ENSMUSP00000006912,Pip4k2a,17,113836,54.4435427,,,,,,Psme1,35081.9,,
ENSMUSP00000024988,C3,17,46109.87,504.3560534,,,,,,Socs3,31102.73,,
ENSMUSP00000001547,Col1a1,17,23655.99,133.7670172,,,,,,Tnks2,29118.29,,
ENSMUSP00000000188,Ccnd2,17,10527.02,334.3897248,,,,,,Fgfr2,28762.1,,
ENSMUSP00000087119,Mmp14,16,27841.17,50.90681579,,,,,,Ripk2,28693.6,,
ENSMUSP00000005218,Cd44,15,24023.63,34.12315281,,,,,,Icam1,28242.39,,
ENSMUSP00000032629,Cyfip1,15,20148.62,172.9617975,,,,,,Ets1,28153.79,,
ENSMUSP00000025523,Csf1r,15,18686.94,60.38727272,,,,,,Mmp14,27841.17,,
ENSMUSP00000048218,Acta2,15,16515.55,1046.918988,,,,,,Gnb1,27360.95,,
ENSMUSP00000033898,Col4a1,15,14261.59,361.5116408,,,,,,Tgfb2,26950.84,,
ENSMUSP00000083587,Icam1,14,28242.39,147.8706524,,,,,,Cdc25b,26330.34,,
ENSMUSP00000002101,Cd3g,14,18426.77,20.73478667,,,,,,Bmpr1b,25723.94,,
ENSMUSP00000026663,Cbx8,14,18390.78,30.02266703,,,,,,Stk24,25648.79,,
ENSMUSP00000064680,Junb,14,15438.33,407.3314869,,,,,,Pik3ca,25490.17,,
ENSMUSP00000029623,Tlr2,14,13897.82,51.75374124,,,,,,Slc9a3r1,25273.75,,
ENSMUSP00000101049,Col18a1,14,12366.65,44.39791033,,,,,,Msh2,25241.16,,
ENSMUSP00000040245,Irf8,14,11646.03,36.31213175,,,,,,Cdk1,24986.14,,
ENSMUSP00000062256,Adrb2,13,66135.19,21.33569885,,,,,,Cd44,24023.63,,
ENSMUSP00000043849,Tgfb2,13,26950.84,48.74292736,,,,,,Col1a1,23655.99,,
ENSMUSP00000023165,Crebbp,13,21974.75,0,,,,,,Tap1,23279.97,,
ENSMUSP00000031542,Oasl2,13,21693.51,102.9131892,,,,,,Plcb4,23225.84,,
ENSMUSP00000041747,Trib3,13,14394.78,10.91190575,,,,,,Plcb3,23225.84,,
ENSMUSP00000104298,Trp53,12,47460.08,0,,,,,,Plcb2,23225.84,,
ENSMUSP00000118546,Ldb1,12,19943,37.19500999,,,,,,Plcb1,23225.84,,
ENSMUSP00000048836,C1qa,12,19943,33.79511689,,,,,,Rela,22744.65,,
ENSMUSP00000068529,Tgfb1i1,12,12298.93,31.13025326,,,,,,Pik3cd,22199.44,,
ENSMUSP00000032201,Ret,12,9652.45,51.45098514,,,,,,Pik3cb,22199.44,,
ENSMUSP00000019997,Tnfaip3,12,5901.63,271.7703934,,,,,,Crebbp,21974.75,,
ENSMUSP00000028062,Vim,11,13905.22,1175.404186,,,,,,Oasl2,21693.51,,
ENSMUSP00000076790,Porcn,11,13531.68,17.78814774,,,,,,Tcf3,21684,,
ENSMUSP00000028106,Itga8,11,10987.39,55.23826153,,,,,,C2,21684,,
ENSMUSP00000074724,Hspe1,11,8529.52,1891.952676,,,,,,Igf2,20873.21,,
ENSMUSP00000069850,Cebpb,11,5180.09,43.60529654,,,,,,Igf1,20873.21,,
ENSMUSP00000023612,Ets2,11,3605.31,69.28273385,,,,,,Epas1,20865.37,,
ENSMUSP00000001780,Akt1,10,68199,0,,,,,,Arrb2,20465.44,,
ENSMUSP00000090237,Src,10,61792,0,,,,,,Arrb1,20465.44,,
ENSMUSP00000033093,Bax,10,19633.42,146.8848574,,,,,,Cyfip1,20148.62,,
ENSMUSP00000021921,Ptch1,10,13360.61,332.1800576,,,,,,Ldb1,19943,,
ENSMUSP00000066789,Ep300,10,12446.6,0,,,,,,C1qa,19943,,
ENSMUSP00000108455,Amot,10,11690.67,70.09828707,,,,,,Bax,19633.42,,
ENSMUSP00000108620,Tsc22d3,10,6514.02,723.3698035,,,,,,F11r,19231.57,,
ENSMUSP00000021698,Hsp90aa1,9,56334.53,0,,,,,,Cdk2,19150.67,,
ENSMUSP00000041907,F11r,9,19231.57,156.5396887,,,,,,App,18941.34,,
ENSMUSP00000101129,Prdm1,9,17222.48,21.92016142,,,,,,Csf1r,18686.94,,
ENSMUSP00000043492,Setd7,9,14091.78,79.4535756,,,,,,Cd3g,18426.77,,
ENSMUSP00000029626,Casp6,9,9219.57,117.0472367,,,,,,Cbx8,18390.78,,
ENSMUSP00000091374,Zbtb16,9,8360.39,151.2229079,,,,,,Ezh2,17446.71,,
ENSMUSP00000041578,Rspo4,9,6205.25,37.75826196,,,,,,Prdm1,17222.48,,
ENSMUSP00000090287,Rspo3,9,6205.25,6.426421945,,,,,,Bmp4,17114.4,,
ENSMUSP00000057527,Tle4,9,5551.73,207.4719343,,,,,,Plg,16721.01,,
ENSMUSP00000045710,Fgf1,9,2714.3,22.51746733,,,,,,Acta2,16515.55,,
ENSMUSP00000020099,Cdk1,8,24986.14,0,,,,,,Vegfa,16048.23,,
ENSMUSP00000006669,Pdk1,8,12705,137.5310274,,,,,,Gnas,15825.42,,
ENSMUSP00000004990,Mapk14,8,9675.6,0,,,,,,Cdc42,15654.01,,
ENSMUSP00000017153,Sdc4,8,8836.2,589.5659395,,,,,,Junb,15438.33,,
ENSMUSP00000067325,Rspo2,8,1972.68,26.54433362,,,,,,Pdpk1,15424.57,,
ENSMUSP00000066743,Stat1,7,44703.51,0,,,,,,Thra,15068.15,,
ENSMUSP00000079380,Rac1,7,39299.76,0,,,,,,Mmp9,14593.87,,
ENSMUSP00000007130,Ctnnb1,7,38466.16,0,,,,,,Akt2,14587.18,,
ENSMUSP00000026416,Cdk2,7,19150.67,0,,,,,,Mapk3,14473.28,,
ENSMUSP00000115883,Vegfa,7,16048.23,0,,,,,,Trib3,14394.78,,
ENSMUSP00000051619,Mapk3,7,14473.28,0,,,,,,Col4a1,14261.59,,
ENSMUSP00000120152,Stat3,7,11501.67,0,,,,,,Setd7,14091.78,,
ENSMUSP00000034049,Slc25a4,7,10893,563.8281717,,,,,,Vim,13905.22,,
ENSMUSP00000056669,Cd14,7,4908.36,193.2962428,,,,,,Tlr2,13897.82,,
ENSMUSP00000030417,Cdc42,6,15654.01,0,,,,,,Pdgfc,13699.59,,
ENSMUSP00000026572,Hras,6,6327.46,0,,,,,,Porcn,13531.68,,
ENSMUSP00000032399,Kras,6,6327.46,0,,,,,,Ptch1,13360.61,,
ENSMUSP00000023462,Mapk1,6,6092.91,0,,,,,,Prkca,13085.46,,
ENSMUSP00000028259,Ifih1,6,4974.2,190.0901433,,,,,,Pik3r2,13008.61,,
ENSMUSP00000024739,Hsp90ab1,6,4857.01,0,,,,,,Ppp2ca,12915.81,,
ENSMUSP00000080020,Ebf1,6,3933.27,183.7340528,,,,,,Pdk1,12705,,
ENSMUSP00000034594,Il10ra,6,3913.22,13.97353329,,,,,,Vdac1,12684,,
ENSMUSP00000017920,Crk,6,2341.37,0,,,,,,Ep300,12446.6,,
ENSMUSP00000099890,Ifit2,6,1244.75,247.4281585,,,,,,Col18a1,12366.65,,
ENSMUSP00000091940,Shc1,6,850.49,0,,,,,,Plat,12344.2,,
ENSMUSP00000073974,Axin1,5,42573.84,0,,,,,,Tgfb1i1,12298.93,,
ENSMUSP00000029201,Pik3ca,5,25490.17,0,,,,,,Actg1,12295.81,,
ENSMUSP00000073720,Bmp4,5,17114.4,0,,,,,,Ccnb1,11752.79,,
ENSMUSP00000052103,Akt2,5,14587.18,0,,,,,,Amot,11690.67,,
ENSMUSP00000034296,Pik3r2,5,13008.61,0,,,,,,Irf8,11646.03,,
ENSMUSP00000020608,Ppp2ca,5,12915.81,0,,,,,,Col1a2,11528.27,,
ENSMUSP00000033941,Plat,5,12344.2,122.3483494,,,,,,Stat3,11501.67,,
ENSMUSP00000025705,Jak2,5,9824.13,0,,,,,,Furin,11374.61,,
ENSMUSP00000032252,Klrk1,5,7266,6.130965951,,,,,,Erbb2,11373.08,,
ENSMUSP00000058757,Ptpn11,5,5757.07,0,,,,,,Itga8,10987.39,,
ENSMUSP00000023829,Cdkn1a,5,5394.7,0,,,,,,Slc25a4,10893,,
ENSMUSP00000002979,Lamb1,5,4363.76,723.8004501,,,,,,Dock1,10888.88,,
ENSMUSP00000105663,Ptk2,5,4243.23,0,,,,,,Ccnd2,10527.02,,
ENSMUSP00000103169,Med1,5,4034.18,0,,,,,,Rack1,10038.31,,
ENSMUSP00000135858,Ryk,5,3269.22,194.5019903,,,,,,Jak2,9824.13,,
ENSMUSP00000023507,Gsk3b,5,3156.91,0,,,,,,Mapk14,9675.6,,
ENSMUSP00000029445,Nras,5,2366.36,0,,,,,,Ret,9652.45,,
ENSMUSP00000061853,Tlr7,5,2095.84,58.92865798,,,,,,Casp6,9219.57,,
ENSMUSP00000041902,Cbl,5,490.52,0,,,,,,Tyrobp,9070,,
ENSMUSP00000034469,Egln1,5,439.41,73.47206782,,,,,,Zbtb17,9043.05,,
ENSMUSP00000021028,Itgb3,4,38095.14,0,,,,,,Casp8,8847.83,,
ENSMUSP00000013807,Pten,4,36278.74,0,,,,,,Sdc4,8836.2,,
ENSMUSP00000030940,Gnb1,4,27360.95,0,,,,,,Yap1,8697.91,,
ENSMUSP00000025867,Rela,4,22744.65,0,,,,,,Hspe1,8529.52,,
ENSMUSP00000101315,Pik3cd,4,22199.44,0,,,,,,Zbtb16,8360.39,,
ENSMUSP00000035037,Pik3cb,4,22199.44,0,,,,,,Sos2,8239.84,,
ENSMUSP00000056668,Igf1,4,20873.21,0,,,,,,Sos1,8239.84,,
ENSMUSP00000114076,Igf2,4,20873.21,0,,,,,,Casp3,8222.58,,
ENSMUSP00000014578,Plg,4,16721.01,0,,,,,,Lamc2,8221.12,,
ENSMUSP00000099991,Pdpk1,4,15424.57,0,,,,,,Itgax,8201.93,,
ENSMUSP00000017881,Mmp9,4,14593.87,0,,,,,,Itgam,8201.93,,
ENSMUSP00000062392,Prkca,4,13085.46,0,,,,,,Lck,8118.27,,
ENSMUSP00000071989,Ccnb1,4,11752.79,0,,,,,,Ngfr,7750.5,,
ENSMUSP00000102985,Furin,4,11374.61,0,,,,,,Klrk1,7266,,
ENSMUSP00000067786,Sos1,4,8239.84,0,,,,,,Prkci,7260,,
ENSMUSP00000044866,Sos2,4,8239.84,0,,,,,,Pik3cg,7223.55,,
ENSMUSP00000032259,Cd69,4,6538.49,147.7288738,,,,,,Abl1,7191.18,,
ENSMUSP00000005548,Hmox1,4,5451,112.3618992,,,,,,Kdr,6944.3,,
ENSMUSP00000060749,Llgl1,4,5451,137.2180388,,,,,,Dvl3,6752.89,,
ENSMUSP00000029812,Nfkb1,4,5272.53,0,,,,,,Dvl2,6752.89,,
ENSMUSP00000034187,Mmp2,4,5232.87,0,,,,,,Dvl1,6752.89,,
ENSMUSP00000116271,Lcp1,4,5211.06,111.5505924,,,,,,Cd69,6538.49,,
ENSMUSP00000063795,Irs1,4,4979.63,0,,,,,,Tsc22d3,6514.02,,
ENSMUSP00000031653,Flt1,4,4909.39,0,,,,,,Kras,6327.46,,
ENSMUSP00000137596,Pcna-ps2,4,4770.22,0,,,,,,Hras,6327.46,,
ENSMUSP00000009774,Ppp2cb,4,3986.2,0,,,,,,Aurka,6238.02,,
ENSMUSP00000006911,Cdk4,4,3878.44,0,,,,,,Rspo4,6205.25,,
ENSMUSP00000099657,Hdac1,4,3825.39,0,,,,,,Rspo3,6205.25,,
ENSMUSP00000026217,Chuk,4,3779.62,0,,,,,,Mapk1,6092.91,,
ENSMUSP00000017637,Igfbp4,4,3635.25,368.5067872,,,,,,Tnfaip3,5901.63,,
ENSMUSP00000091422,Birc2,4,3622.37,0,,,,,,Tlr4,5793.97,,
ENSMUSP00000013949,Birc3,4,3622.37,0,,,,,,Ptpn11,5757.07,,
ENSMUSP00000083250,Ncor2,4,3562.6,0,,,,,,Gsn,5734.03,,
ENSMUSP00000018645,Ncor1,4,3562.6,0,,,,,,Tle4,5551.73,,
ENSMUSP00000016640,Cd274,4,3260.03,88.30170415,,,,,,Rab13,5460.13,,
ENSMUSP00000020257,Sirt1,4,3198.56,0,,,,,,Actb,5460.13,,
ENSMUSP00000018094,Hnf4a,4,2702.28,0,,,,,,Llgl1,5451,,
ENSMUSP00000031540,Oasl1,4,2386.03,0,,,,,,Hmox1,5451,,
ENSMUSP00000037694,Fgf2,4,2205.84,0,,,,,,Rab8a,5450.07,,
ENSMUSP00000097547,Fyn,4,2175.47,0,,,,,,Ehmt2,5448,,
ENSMUSP00000039175,Nr0b2,4,2092.64,0,,,,,,Cd8a,5448,,
ENSMUSP00000006293,Crkl,4,1991.61,0,,,,,,Calca,5448,,
ENSMUSP00000001326,Sp1,4,1835.48,0,,,,,,Kit,5441.83,,
ENSMUSP00000025453,Smad2,4,1607.35,0,,,,,,Cdkn1a,5394.7,,
ENSMUSP00000025393,Smad4,4,1489.78,0,,,,,,Tgfbr2,5308.34,,
ENSMUSP00000069087,Lamb2,4,1432.16,357.7498881,,,,,,Tgfbr1,5308.34,,
ENSMUSP00000004949,Traf6,4,711.29,0,,,,,,Tgfb1,5308.34,,
ENSMUSP00000056774,Pik3r1,4,369.69,0,,,,,,Acvr1b,5308.34,,
ENSMUSP00000099404,Plcg1,4,322.52,0,,,,,,Acvr1,5308.34,,
ENSMUSP00000030642,Psmb2,4,187.16,0,,,,,,Nfkb1,5272.53,,
ENSMUSP00000078625,Gm8394,4,187.16,0,,,,,,Mmp2,5232.87,,
ENSMUSP00000088057,Psma5,4,187.16,0,,,,,,Lcp1,5211.06,,
ENSMUSP00000135967,Gm5422,4,187.16,0,,,,,,Cebpb,5180.09,,
ENSMUSP00000034369,Psmb10,4,187.16,0,,,,,,Vcl,5137.77,,
ENSMUSP00000028083,Psmb7,4,187.16,0,,,,,,Pomc,5063.56,,
ENSMUSP00000034848,Psma4,4,187.16,0,,,,,,Avp,5063.56,,
ENSMUSP00000033008,Psma1,4,187.16,0,,,,,,Pxn,5038.15,,
ENSMUSP00000007212,Psmd2,4,187.16,0,,,,,,Irs1,4979.63,,
ENSMUSP00000014913,Psmb1,4,187.16,0,,,,,,Ifih1,4974.2,,
ENSMUSP00000048736,Ptger4,4,77.82,33.94282218,,,,,,Flt1,4909.39,,
ENSMUSP00000005406,App,3,18941.34,0,,,,,,Cd14,4908.36,,
ENSMUSP00000079341,Gnas,3,15825.42,0,,,,,,Hsp90ab1,4857.01,,
ENSMUSP00000071486,Actg1,3,12295.81,0,,,,,,Pcna-ps2,4770.22,,
ENSMUSP00000053897,Erbb2,3,11373.08,0,,,,,,Rps8,4648.86,,
ENSMUSP00000020640,Rack1,3,10038.31,0,,,,,,Rps6,4648.86,,
ENSMUSP00000091238,Casp3,3,8222.58,0,,,,,,Rps3a1,4648.86,,
ENSMUSP00000027753,Lamc2,3,8221.12,0,,,,,,Rps3,4648.86,,
ENSMUSP00000125777,Lck,3,8118.27,0,,,,,,Gm9843,4648.86,,
ENSMUSP00000000122,Ngfr,3,7750.5,0,,,,,,Gm6133,4648.86,,
ENSMUSP00000062864,Pik3cg,3,7223.55,0,,,,,,Rhoa,4647.63,,
ENSMUSP00000109144,Kdr,3,6944.3,0,,,,,,Adrbk1,4568.08,,
ENSMUSP00000028997,Aurka,3,6238.02,0,,,,,,Egfr,4531.16,,
ENSMUSP00000045770,Tlr4,3,5793.97,0,,,,,,Lamb1,4363.76,,
ENSMUSP00000028239,Gsn,3,5734.03,3083.1386,,,,,,Cflar,4362.52,,
ENSMUSP00000005815,Kit,3,5441.83,0,,,,,,Ptk2,4243.23,,
ENSMUSP00000022369,Vcl,3,5137.77,0,,,,,,Pikfyve,4113.77,,
ENSMUSP00000020990,Pomc,3,5063.56,0,,,,,,Med1,4034.18,,
ENSMUSP00000035551,Avp,3,5063.56,0,,,,,,Cd28,4002.01,,
ENSMUSP00000083709,Pxn,3,5038.15,0,,,,,,Ppp2cb,3986.2,,
ENSMUSP00000007959,Rhoa,3,4647.63,0,,,,,,Ebf1,3933.27,,
ENSMUSP00000020329,Egfr,3,4531.16,0,,,,,,Il10ra,3913.22,,
ENSMUSP00000065107,Cflar,3,4362.52,0,,,,,,Tiam1,3879.59,,
ENSMUSP00000125373,Plod2,3,3635,162.4107763,,,,,,Cdk4,3878.44,,
ENSMUSP00000095253,Ramp1,3,3635,94.3602119,,,,,,Hdac1,3825.39,,
ENSMUSP00000078138,H2-Q2,3,3635,30.48890847,,,,,,Nmur2,3811.1,,
ENSMUSP00000070070,Esr1,3,3411.54,0,,,,,,Nmur1,3811.1,,
ENSMUSP00000128803,Myl6,3,3357.08,0,,,,,,Mchr1,3811.1,,
ENSMUSP00000085913,Myl9,3,3357.08,0,,,,,,Lpar2,3811.1,,
ENSMUSP00000042364,Myl12b,3,3357.08,0,,,,,,Lpar1,3811.1,,
ENSMUSP00000020157,Apaf1,3,3305.82,0,,,,,,Bdkrb1,3811.1,,
ENSMUSP00000062782,Vav2,3,3271.48,0,,,,,,Chuk,3779.62,,
ENSMUSP00000060828,Syk,3,3271.48,0,,,,,,Igfbp4,3635.25,,
ENSMUSP00000036270,Vav3,3,3271.48,0,,,,,,Ramp1,3635,,
ENSMUSP00000005889,Vav1,3,3271.48,0,,,,,,Plod2,3635,,
ENSMUSP00000020238,Hsp90b1,3,2987.17,0,,,,,,H2-Q2,3635,,
ENSMUSP00000072154,Yes1,3,2724.69,0,,,,,,Kmt2a,3634,,
ENSMUSP00000005606,Prkaca,3,2531.87,0,,,,,,Birc3,3622.37,,
ENSMUSP00000029611,Lef1,3,2492.67,0,,,,,,Birc2,3622.37,,
ENSMUSP00000087047,Cd86,3,2198.77,311.3914351,,,,,,Ets2,3605.31,,
ENSMUSP00000021860,Ly86,3,2144.43,88.41887022,,,,,,Ncor2,3562.6,,
ENSMUSP00000060073,Jak3,3,2115.64,0,,,,,,Ncor1,3562.6,,
ENSMUSP00000099842,Jak1,3,2115.64,0,,,,,,Esr1,3411.54,,
ENSMUSP00000066679,Chek2,3,2084.6,0,,,,,,Myl9,3357.08,,
ENSMUSP00000023779,Nr4a1,3,2078,0,,,,,,Myl6,3357.08,,
ENSMUSP00000106845,Ifi204,3,1932.88,158.402423,,,,,,Myl12b,3357.08,,
ENSMUSP00000023673,Runx1,3,1879,0,,,,,,Apaf1,3305.82,,
ENSMUSP00000033939,Ikbkb,3,1867.96,0,,,,,,Arhgap17,3272.75,,
ENSMUSP00000037925,Cdk6,3,1852.01,0,,,,,,Vav3,3271.48,,
ENSMUSP00000110528,Parp9,3,1818,53.02017,,,,,,Vav2,3271.48,,
ENSMUSP00000033040,Pak1,3,1661.83,0,,,,,,Vav1,3271.48,,
ENSMUSP00000022622,Ptk2b,3,1659.35,0,,,,,,Syk,3271.48,,
ENSMUSP00000033769,Irak1,3,1576.07,0,,,,,,Ryk,3269.22,,
ENSMUSP00000018737,Sparc,3,1569.75,0,,,,,,Cd274,3260.03,,
ENSMUSP00000029842,Bcl10,3,1520.77,0,,,,,,Sirt1,3198.56,,
ENSMUSP00000111009,Tceb1,3,1462.13,0,,,,,,Bcr,3172.58,,
ENSMUSP00000066210,Tceb2,3,1462.13,0,,,,,,Arhgap35,3172.58,,
ENSMUSP00000067085,Irs4,3,1455.91,0,,,,,,Gsk3b,3156.91,,
ENSMUSP00000038514,Irs2,3,1455.91,0,,,,,,Cdh1,3119.75,,
