"Id","Label","Degree","Betweenness","Expression"
"70484","Rprd1b",30,11143.15,58.67216543
"MIMAT0000134","mmu-mir-124-3p",24,10447.24,0
"12043","Arsb",23,11776.06,44.62411079
"16002","Igf2",23,7038.82,124.2185142
"319317","Snhg11",22,13677.97,88.89674209
"MIMAT0004651","mmu-mir-340-5p",21,9525.19,0
"20481","Ski",21,8749.77,229.1360972
"13819","Epas1",21,5141.06,161.1677187
"MIMAT0000210","mmu-mir-181a-5p",20,11754.39,0
"MIMAT0000526","mmu-mir-15a-5p",20,9970.31,0
"21429","Ubtf",20,7759.93,134.1734318
"26401","Map3k1",20,7682.97,139.7770864
"225631","Onecut2",20,6725.76,35.49778354
"245671","Klf8",19,7812.22,158.7562611
"MIMAT0000142","mmu-mir-9-5p",19,7794.02,0
"12846","Comp",17,9377.81,8.866065444
"218203","Mylip",17,7346.31,61.81800863
"636931","Trim71",17,4791.7,279.1128996
"14605","Tsc22d3",17,3528.09,723.3698035
"MIMAT0000567","mmu-mir-329-3p",16,9403.19,0
"MIMAT0004684","mmu-mir-362-3p",16,9018.9,0
"12515","Cd69",16,5776.71,147.7288738
"16155","Il10rb",16,4901.66,27.86050226
"MIMAT0000678","mmu-mir-7b-5p",16,4177.69,0
"16001","Igf1r",15,7217.51,267.2762071
"23871","Ets1",15,6626,88.84056777
"227929","Dlgap5",15,6296.85,22.65251733
"MIMAT0000248","mmu-mir-30e-5p",15,5614.29,0
"21808","Tgfb1",15,4892.21,48.74292736
"MIMAT0000649","mmu-mir-17-5p",14,8095.74,0
"MIMAT0017322","mmu-mir-466l-5p",14,4574.59,0
"MIMAT0000665","mmu-mir-223-3p",14,4344.76,0
"70355","Gprc5c",14,3734.51,13.3750279
"209027","Akr1d1",13,10378.81,12.07885803
"12826","Col4a1",13,7002.39,361.5116408
"MIMAT0005845","mmu-mir-466k",13,6147.14,0
"22154","Tubb5",13,5639.81,533.8994561
"MIMAT0000556","mmu-mir-324-3p",13,5180.59,0
"214968","Sema6d",13,4896.72,73.99675036
"MIMAT0000522","mmu-let-7b-5p",13,4122.94,0
"18028","Nfib",13,4089.99,282.6991338
"MIMAT0004930","mmu-mir-466d-5p",13,3798.51,0
"MIMAT0003170","mmu-mir-541-5p",13,3663.38,0
"MIMAT0000159","mmu-mir-149-5p",13,3540.74,0
"MIMAT0000219","mmu-mir-24-3p",12,5177.94,0
"228026","Pdk1",12,3810.19,137.5310274
"54486","Barhl2",12,3749.57,201.6414652
"MIMAT0017325","mmu-mir-466i-5p",12,3368.59,0
"73251","Setd7",12,2797.59,79.4535756
"16151","Ikbkg",12,2781.81,49.79973816
"16562","Kif1c",11,4527.51,28.29576765
"11517","Adcyap1r1",11,4519.93,21.9469231
"15251","Hif1a",11,3600.72,311.0144688
"MIMAT0000533","mmu-mir-26a-5p",11,3517.72,0
"13024","Crp",11,2969.57,113.5807287
"18035","Nfkbia",11,1571.55,769.1283678
"MIMAT0004750","mmu-mir-425-5p",10,5801.64,0
"MIMAT0005834","mmu-mir-466i-3p",10,4926.43,0
"MIMAT0000148","mmu-mir-136-5p",10,3744.35,0
"72017","Synpr",10,3179.32,86.39967418
"MIMAT0000382","mmu-mir-34b-5p",10,3155.3,0
"83557","Lin28a",10,3107.3,35.43519169
"16009","Igfbp3",10,2817.66,115.9856247
"65086","Rpl23",10,1844.71,44.8460604
"MIMAT0000513","mmu-mir-19b-3p",10,1652.31,0
"56437","Stx1b",9,3227.57,51.94640399
"67455","Ilkap",9,3141.54,54.97285158
"12267","C3ar1",9,3046.78,148.3277451
"12444","Ccnd2",9,2570.07,334.3897248
"83925","Trps1",9,2493.8,86.21095048
"11977","Atp7a",9,2226.84,110.4624248
"MIMAT0004882","mmu-mir-466f-3p",9,2055.38,0
"17970","Ncam2",9,1880.85,19.5764713
"240913","Il8",9,1790.81,46.0173757
"MIMAT0000209","mmu-mir-129-5p",8,5430.05,0
"66873","Nhlrc2",8,4017.86,34.82237748
"MIMAT0020614","mmu-mir-3473c",8,4009.28,0
"MIMAT0005859","mmu-mir-1198-5p",8,3481.59,0
"18793","Plau",8,2665.83,41.53215219
"53901","Rcan2",8,2628.24,52.06782512
"70747","Tspan2",8,1806.01,35.07308984
"MIMAT0000220","mmu-mir-190a-5p",8,1788.25,0
"142688","Akr1c14",8,1777.55,23.30514985
"19713","Rarb",8,1649.54,51.45098514
"MIMAT0014803","mmu-mir-1264-3p",7,4847.26,0
"MIMAT0005850","mmu-mir-1192",7,3877.52,0
"MIMAT0020608","mmu-mir-5101",7,3496.68,0
"319939","Tns3",7,3362.89,67.64145692
"MIMAT0014879","mmu-mir-3085-3p",7,2598.43,0
"71398","5430427O19Rik",7,2549.19,18.76607623
"14758","Gpm6b",7,2449.41,111.0684821
"17127","Smad3",7,2282.17,53.09104635
"MIMAT0001091","mmu-mir-410-3p",7,2179.42,0
"56458","Sumf1",7,1847.48,296.4646151
"MIMAT0014808","mmu-mir-344d-3p",7,1805.08,0
"MIMAT0014924","mmu-mir-344e-3p",7,1805.08,0
"53902","Rcan3",7,1760.85,111.4895287
"14784","Gpi1",7,1369.69,80.21692202
"22031","Traf3",7,1365.37,87.96725963
"MIMAT0004879","mmu-mir-466e-5p",7,1262.11,0
"MIMAT0014891","mmu-mir-466p-5p",7,1262.11,0
"MIMAT0004759","mmu-mir-466a-5p",7,1262.11,0
"MIMAT0005837","mmu-mir-1187",7,1262.11,0
"MIMAT0004186","mmu-mir-301b-3p",7,1142.9,0
"98878","Ces2g",6,2855,113.4758799
"MIMAT0003456","mmu-mir-495-3p",6,2832.97,0
"MIMAT0000165","mmu-mir-155-5p",6,1997.83,0
"67468","Mmd",6,1951.04,20.46261945
"MIMAT0000590","mmu-mir-342-3p",6,1478.01,0
"16181","Igj",6,1339.37,66.11154488
"16011","Igfbp5",6,1267.94,44.30515839
"54338","Slc23a2",6,1209.26,144.3895706
"16658","Mafb",6,1152.16,41.0018434
"MIMAT0014883","mmu-mir-466m-3p",6,1074.08,0
"235041","Kank2",6,795.25,42.48564126
"MIMAT0017281","mmu-mir-511-3p",6,781.75,0
"93691","Klf7",6,680.7,178.4402691
"MIMAT0005860","mmu-mir-1199-5p",5,2951.09,0
"MIMAT0005830","mmu-mir-466l-3p",5,2495.72,0
"MI0018010","mmu-mir-5102",5,1662.09,0
"27494","Amot",5,1542.28,70.09828707
