"ENTREZID","ENSEMBL","SYMBOL"
"497097","ENSMUSG00000051951","Xkr4"
"20671","ENSMUSG00000025902","Sox17"
"58175","ENSMUSG00000002459","Rgs20"
"18387","ENSMUSG00000025905","Oprk1"
"226304","ENSMUSG00000033774","Npbwr1"
"240690","ENSMUSG00000033740","St18"
"76982","ENSMUSG00000067879","Vxn"
"170755","ENSMUSG00000025915","Sgk3"
"26754","ENSMUSG00000025917","Cops5"
"329093","ENSMUSG00000042501","Cpa6"
"109294","ENSMUSG00000048960","Prex2"
"102465961","ENSMUSG00000098555","Mir6341"
"329096","ENSMUSG00000097171","Gm17644"
"240726","ENSMUSG00000025938","Slco5a1"
"383491","ENSMUSG00000042414","Prdm14"
"381246","ENSMUSG00000067813","Xkr9"
"433273","ENSMUSG00000097711","Gm5523"
"14048","ENSMUSG00000025932","Eya1"
"17681","ENSMUSG00000025930","Msc"
"277328","ENSMUSG00000032769","Trpa1"
"98741","ENSMUSG00000092083","Kcnb2"
"226866","ENSMUSG00000032719","Sbspon"
"98711","ENSMUSG00000025921","Rdh10"
"29819","ENSMUSG00000025920","Stau2"
"57339","ENSMUSG00000042686","Jph1"
"94227","ENSMUSG00000067780","Pi15"
"83691","ENSMUSG00000025776","Crispld1"
"102634913","ENSMUSG00000085125","Gm16070"
"78081","ENSMUSG00000025774","Crisp4"
"654454","ENSMUSG00000070977","Defb44-ps"
"226896","ENSMUSG00000042596","Tfap2d"
"75028","ENSMUSG00000089914","4930486I03Rik"
"241035","ENSMUSG00000043760","Pkhd1"
"105661730","ENSMUSG00000099906","Lincmd1"
"387202","ENSMUSG00000065559","Mir206"
"723817","ENSMUSG00000065480","Mir133b"
"16171","ENSMUSG00000025929","Il17a"
"257630","ENSMUSG00000041872","Il17f"
"170829","ENSMUSG00000041779","Tram2"
"75712","ENSMUSG00000025933","Tmem14a"
"14859","ENSMUSG00000025934","Gsta3"
"241041","ENSMUSG00000025936","Gm4956"
"98582","ENSMUSG00000085079","Khdc1b"
"226922","ENSMUSG00000028033","Kcnq5"
"723964","ENSMUSG00000065567","Mir30c-2"
"70155","ENSMUSG00000026158","Ogfrl1"
"105243890","ENSMUSG00000099503","Gm28822"
"280645","ENSMUSG00000026156","B3gat2"
"12839","ENSMUSG00000026147","Col9a1"
"12823","ENSMUSG00000026141","Col19a1"
"433281","ENSMUSG00000101514","Gm5524"
"210962","ENSMUSG00000048411","Gm597"
"102465174","ENSMUSG00000099257","Mir6342"
"102634473","ENSMUSG00000086727","Gm29669"
"70988","ENSMUSG00000086727","4931428L18Rik"
"170771","ENSMUSG00000026058","Khdrbs2"
"408191","ENSMUSG00000091318","Gm5415"
"13518","ENSMUSG00000026131","Dst"
"102466987","ENSMUSG00000105982","Mir6896"
"100628580","ENSMUSG00000092852","Mir5103"
"69668","ENSMUSG00000042111","Ccdc115"
