"ENTREZID","ENSEMBL","SYMBOL"
"76187","ENSMUSG00000025911","Adhfe1"
"72481","ENSMUSG00000079671","2610203C22Rik"
"723817","ENSMUSG00000065480","Mir133b"
"433278","ENSMUSG00000041722","Khdc1c"
"266744","ENSMUSG00000050217","Lgsn"
"102466987","ENSMUSG00000105982","Mir6896"
"78321","ENSMUSG00000067653","Ankrd23"
"100047133","ENSMUSG00000097899","Gm16894"
"110599589","ENSMUSG00000117809","Asdurf"
"102465783","ENSMUSG00000098443","Mir7681"
"76668","ENSMUSG00000025963","Mdh1b"
"12965","ENSMUSG00000073658","Crygb"
"245860","ENSMUSG00000033124","Atg9a"
"102465180","ENSMUSG00000099141","Mir6352"
"102466882","ENSMUSG00000098634","Mir8096"
"15559","ENSMUSG00000026228","Htr2b"
"76768","ENSMUSG00000079440","Alpi"
"11648","ENSMUSG00000036500","Akp3"
"11447","ENSMUSG00000026251","Chrnd"
"11449","ENSMUSG00000026253","Chrng"
"100040591","ENSMUSG00000079436","Kcnj13"
"20215","ENSMUSG00000056055","Sag"
"394434","ENSMUSG00000090175","Ugt1a9"
"394433","ENSMUSG00000089943","Ugt1a5"
"258483","ENSMUSG00000062497","Olfr1411"
"257890","ENSMUSG00000061616","Olfr12"
"387167","ENSMUSG00000065470","Mir149"
"64095","ENSMUSG00000026271","Gpr35"
"67026","ENSMUSG00000026279","Thap4"
"319229","ENSMUSG00000026387","Sctr"
"387147","ENSMUSG00000065520","Mir128-1"
"212439","ENSMUSG00000042510","AA986860"
"64435","ENSMUSG00000026415","Fcamr"
"18703","ENSMUSG00000026417","Pigr"
"93672","ENSMUSG00000026420","Il24"
"74626","ENSMUSG00000048174","Tmem81"
"68338","ENSMUSG00000103421","Golt1a"
"12654","ENSMUSG00000064246","Chil1"
"53311","ENSMUSG00000042451","Mybph"
"68507","ENSMUSG00000026458","Ppfia4"
"320139","ENSMUSG00000031506","Ptpn7"
"21956","ENSMUSG00000026414","Tnnt2"
"226439","ENSMUSG00000097918","Ascl5"
"14060","ENSMUSG00000026368","F13b"
"20822","ENSMUSG00000018199","Ro60"
"320019","ENSMUSG00000097028","Ptgs2os"
"102466847","ENSMUSG00000106406","Mir7682"
"240819","ENSMUSG00000047053","Teddm1a"
"78112","ENSMUSG00000099933","4930452N14Rik"
"735253","ENSMUSG00000070103","Mir488"
"72025","ENSMUSG00000047661","1600012P17Rik"
"100217414","ENSMUSG00000089536","Scarna3a"
"387210","ENSMUSG00000065516","Mir214"
"14067","ENSMUSG00000026579","F5"
"67303","ENSMUSG00000097503","3110045C21Rik"
"665574","ENSMUSG00000102752","Gm7694"
"12355","ENSMUSG00000005677","Nr1i3"
"14127","ENSMUSG00000058715","Fcer1g"
"102465784","ENSMUSG00000098316","Mir7683"
"258759","ENSMUSG00000062527","Olfr1408"
"258880","ENSMUSG00000046643","Olfr218"
"258713","ENSMUSG00000050134","Olfr430"
"258302","ENSMUSG00000055033","Olfr420"
"258710","ENSMUSG00000050788","Olfr419"
"258756","ENSMUSG00000051509","Olfr414"
"73363","ENSMUSG00000044854","1700056E22Rik"
"100316821","ENSMUSG00000088559","Mir1981"
"319562","ENSMUSG00000051295","9630028B13Rik"
"105244050","ENSMUSG00000089947","Gm15509"
"102632463","ENSMUSG00000079045","LOC102632463"
"226844","ENSMUSG00000066595","Flvcr1"
"100125339","ENSMUSG00000097845","A230020J21Rik"
"723963","ENSMUSG00000065412","Mir29b-2"
"387224","ENSMUSG00000065548","Mir29c"
"102634635","ENSMUSG00000112172","Gm32172"
"73811","ENSMUSG00000110754","4930405J17Rik"
"111174","ENSMUSG00000056379","Taar1"
"209512","ENSMUSG00000059763","Taar2"
"215854","ENSMUSG00000069706","Taar5"
"435206","ENSMUSG00000095569","Taar7d"
"215859","ENSMUSG00000096442","Taar8a"
"382348","ENSMUSG00000100186","Taar8b"
"494546","ENSMUSG00000100004","Taar8c"
"100504474","ENSMUSG00000096546","Smlr1"
"102640597","ENSMUSG00000101537","Gm29571"
"414093","ENSMUSG00000112280","A830082N09Rik"
"270711","ENSMUSG00000039508","Calhm4"
"215900","ENSMUSG00000046031","Calhm6"
"100041085","ENSMUSG00000071335","Mfsd4b3-ps"
"66650","ENSMUSG00000038624","Nepn"
"268301","ENSMUSG00000098188","Sowahc"
"18646","ENSMUSG00000037202","Prf1"
"67332","ENSMUSG00000020180","Snrpd3"
"14598","ENSMUSG00000006345","Ggt1"
"22364","ENSMUSG00000000903","Vpreb3"
"76964","ENSMUSG00000009114","2610028H24Rik"
"102639115","ENSMUSG00000085468","Gm15343"
"100040299","ENSMUSG00000112600","Gm2696"
"28240","ENSMUSG00000009292","Trpm2"
"73106","ENSMUSG00000020323","Prss57"
"14431","ENSMUSG00000020150","Gamt"
"78670","ENSMUSG00000035278","Plekhj1"
"18245","ENSMUSG00000035242","Oaz1"
"100316778","ENSMUSG00000087993","Mir1982"
"16467","ENSMUSG00000034958","Atcay"
"21390","ENSMUSG00000034881","Tbxa2r"
"13611","ENSMUSG00000044199","S1pr4"
"442847","ENSMUSG00000097076","Platr7"
"100316689","ENSMUSG00000089214","Mir1931"
"75025","ENSMUSG00000112484","4930473O22Rik"
"100417125","ENSMUSG00000112503","Gm18409"
"100043247","ENSMUSG00000096640","Gm4312"
"11567","ENSMUSG00000025432","Avil"
"13115","ENSMUSG00000006724","Cyp27b1"
"100038591","ENSMUSG00000097331","F420014N23Rik"
"16325","ENSMUSG00000025405","Inhbc"
"237611","ENSMUSG00000040287","Stac3"
"72243","ENSMUSG00000040195","1700012D01Rik"
"103142","ENSMUSG00000056148","Rdh9"
"54150","ENSMUSG00000040134","Rdh7"
"28194","ENSMUSG00000051716","Apon"
"71664","ENSMUSG00000025347","Mettl7b"
"18373","ENSMUSG00000069430","Olfr9"
"257667","ENSMUSG00000042801","Olfr769"
