"ENTREZID","ENSEMBL","SYMBOL"
"21399","ENSMUSG00000033813","Tcea1"
"70675","ENSMUSG00000045210","Vcpip1"
"73824","ENSMUSG00000098234","Snhg6"
"100039596","ENSMUSG00000099032","Tcf24"
"212442","ENSMUSG00000025937","Lactb2"
"329101","ENSMUSG00000097744","D030040B21Rik"
"98403","ENSMUSG00000042197","Zfp451"
"27993","ENSMUSG00000026127","Imp4"
"214469","ENSMUSG00000037503","Fam168b"
"214854","ENSMUSG00000047180","Neurl3"
"214855","ENSMUSG00000037447","Arid5a"
"226976","ENSMUSG00000010453","Kansl3"
"226977","ENSMUSG00000037351","Actr1b"
"623661","ENSMUSG00000037216","Lipt1"
"56210","ENSMUSG00000026082","Rev1"
"211798","ENSMUSG00000041945","Mfsd9"
"22592","ENSMUSG00000026048","Ercc5"
"72085","ENSMUSG00000026096","Osgepl1"
"110599589","ENSMUSG00000117809","Asdurf"
"15510","ENSMUSG00000025980","Hspd1"
"213056","ENSMUSG00000038174","Fam126b"
"227154","ENSMUSG00000026027","Stradb"
"55989","ENSMUSG00000026020","Nop58"
"76668","ENSMUSG00000025963","Mdh1b"
"67099","ENSMUSG00000025956","Mettl21a"
"15926","ENSMUSG00000025950","Idh1"
"11363","ENSMUSG00000026003","Acadl"
"14768","ENSMUSG00000026000","Lancl1"
"111175","ENSMUSG00000026189","Pecr"
"69660","ENSMUSG00000006301","Tmbim1"
"18173","ENSMUSG00000026177","Slc11a1"
"18802","ENSMUSG00000026173","Plcd4"
"22409","ENSMUSG00000026167","Wnt10a"
"22626","ENSMUSG00000026205","Slc23a3"
"69171","ENSMUSG00000033159","Cnppd1"
"227298","ENSMUSG00000049339","Retreg2"
"20872","ENSMUSG00000026201","Stk16"
"69080","ENSMUSG00000033021","Gmppa"
"74241","ENSMUSG00000032997","Chpf"
"71728","ENSMUSG00000026213","Stk11ip"
"195434","ENSMUSG00000079470","Utp14b"
"15463","ENSMUSG00000026159","Agfg1"
"70247","ENSMUSG00000026229","Psmd1"
"14767","ENSMUSG00000026237","Nmur1"
"77040","ENSMUSG00000026289","Atg16l1"
"100503175","ENSMUSG00000101942","Gm19582"
"100040766","ENSMUSG00000079429","Mroh2a"
"12835","ENSMUSG00000048126","Col6a3"
"74019","ENSMUSG00000034292","Traf3ip1"
"241158","ENSMUSG00000034212","Ankmy1"
"23830","ENSMUSG00000026270","Capn10"
"208760","ENSMUSG00000045091","Aqp12"
"69821","ENSMUSG00000026273","Mterf4"
"67026","ENSMUSG00000026279","Thap4"
"70750","ENSMUSG00000009905","Kdsr"
"68204","ENSMUSG00000107722","2900060B14Rik"
"319229","ENSMUSG00000026387","Sctr"
"170706","ENSMUSG00000050777","Tmem37"
"73103","ENSMUSG00000026388","3110009E18Rik"
"100502745","ENSMUSG00000102014","2900009J06Rik"
"102640368","ENSMUSG00000087691","Cd55os"
"226419","ENSMUSG00000016526","Dyrk3"
"108900","ENSMUSG00000055184","Fam72a"
"13714","ENSMUSG00000026436","Elk4"
"74137","ENSMUSG00000009772","Nuak2"
"213464","ENSMUSG00000026439","Rbbp5"
"381290","ENSMUSG00000026463","Atp2b4"
"72674","ENSMUSG00000026457","Adipor1"
"66241","ENSMUSG00000026411","Tmem9"
"16565","ENSMUSG00000041642","Kif21b"
"383563","ENSMUSG00000052759","Gpr25"
"67997","ENSMUSG00000026404","Ddx59"
"320054","ENSMUSG00000097403","9230116N13Rik"
"226470","ENSMUSG00000033964","Zbtb41"
"108989","ENSMUSG00000006005","Tpr"
"15064","ENSMUSG00000026471","Mr1"
"208263","ENSMUSG00000026466","Tor1aip1"
"14455","ENSMUSG00000053332","Gas5"
"67292","ENSMUSG00000026698","Pigc"
"71449","ENSMUSG00000026694","Eef1aknmt"
"69962","ENSMUSG00000041396","Mettl18"
"20343","ENSMUSG00000026581","Sell"
"80915","ENSMUSG00000026659","Dusp12"
"66052","ENSMUSG00000058076","Sdhc"
"57370","ENSMUSG00000052423","B4galt3"
