"ENTREZID","ENSEMBL","SYMBOL"
"54610","ENSMUSG00000003134","Tbc1d8"
"387219","ENSMUSG00000065468","Mir26b"
"22145","ENSMUSG00000026202","Tuba4a"
"98733","ENSMUSG00000026211","Obsl1"
"15504","ENSMUSG00000081984","Dnajb3"
"75995","ENSMUSG00000097251","5033417F24Rik"
"227394","ENSMUSG00000040693","Slco4c1"
"212980","ENSMUSG00000026435","Slc45a3"
"66241","ENSMUSG00000026411","Tmem9"
"102465177","ENSMUSG00000098379","Mir6347"
"56752","ENSMUSG00000026687","Aldh9a1"
"102466998","ENSMUSG00000099119","Mir6546"
"56009","ENSMUSG00000060244","Alyref2"
"73363","ENSMUSG00000044854","1700056E22Rik"
"100125339","ENSMUSG00000097845","A230020J21Rik"
"226844","ENSMUSG00000066595","Flvcr1"
"100038712","ENSMUSG00000097316","Gm10516"
"14373","ENSMUSG00000009633","G0s2"
"12490","ENSMUSG00000016494","Cd34"
"320273","ENSMUSG00000097378","B230208H11Rik"
"100040851","ENSMUSG00000039098","Gm9767"
"102632938","ENSMUSG00000090087","Gm15939"
"94214","ENSMUSG00000058297","Spock2"
"102639115","ENSMUSG00000085468","Gm15343"
"19152","ENSMUSG00000057729","Prtn3"
"114229","ENSMUSG00000035773","Kiss1r"
"12798","ENSMUSG00000004665","Cnn2"
"12905","ENSMUSG00000045867","Cradd"
"102633245","ENSMUSG00000084865","Gm15723"
"71750","ENSMUSG00000025404","R3hdm2"
"17937","ENSMUSG00000025402","Nab2"
"23943","ENSMUSG00000025366","Esyt1"
"12512","ENSMUSG00000025351","Cd63"
"623734","ENSMUSG00000092048","Vmn2r85"
"114679","ENSMUSG00000075702","Selenom"
"103710","ENSMUSG00000048807","Slc35e4"
"192950","ENSMUSG00000041073","Nacad"
"15122","ENSMUSG00000069919","Hba-a1"
"103534","ENSMUSG00000036620","Mgat4b"
"27274","ENSMUSG00000020335","Zfp354b"
"16362","ENSMUSG00000018899","Irf1"
"50724","ENSMUSG00000020519","Sap30l"
"118454","ENSMUSG00000043448","Gjc2"
"192976","ENSMUSG00000046417","Lrrc75a"
"12029","ENSMUSG00000000317","Bcl6b"
"66102","ENSMUSG00000018920","Cxcl16"
"216871","ENSMUSG00000046811","Gltpd2"
"387208","ENSMUSG00000065590","Mir212"
"216964","ENSMUSG00000044328","Trp53i13"
"387188","ENSMUSG00000065395","Mir193a"
"216991","ENSMUSG00000020709","Adap2"
"12643","ENSMUSG00000039084","Chad"
"217124","ENSMUSG00000038976","Ppp1r9b"
"15413","ENSMUSG00000038700","Hoxb5"
"387170","ENSMUSG00000065515","Mir152"
"72324","ENSMUSG00000017417","Plxdc1"
"15485","ENSMUSG00000019301","Hsd17b1"
"217198","ENSMUSG00000035172","Plekhh3"
"12777","ENSMUSG00000044052","Ccr10"
"28084","ENSMUSG00000078656","Vps25"
"67803","ENSMUSG00000040699","Limd2"
"69066","ENSMUSG00000078607","1810010H24Rik"
"328035","ENSMUSG00000044788","Fads6"
"217333","ENSMUSG00000020773","Trim47"
"69681","ENSMUSG00000092300","Cdk3"
"53413","ENSMUSG00000020792","Exoc7"
"100038570","ENSMUSG00000075410","Prcd"
"21858","ENSMUSG00000017466","Timp2"
"209027","ENSMUSG00000025140","Pycr1"
"68515","ENSMUSG00000025141","Myadml2"
"170758","ENSMUSG00000018012","Rac3"
"16570","ENSMUSG00000020668","Kif3c"
"52504","ENSMUSG00000020652","Cenpo"
"17977","ENSMUSG00000020647","Ncoa1"
"380753","ENSMUSG00000020564","Atxn7l1"
"67217","ENSMUSG00000019718","L3hypdh"
"20476","ENSMUSG00000021099","Six6"
"217738","ENSMUSG00000050671","Ism2"
"382639","ENSMUSG00000037638","Zbtb42"
"68337","ENSMUSG00000006356","Crip2"
"56349","ENSMUSG00000021215","Net1"
"319166","ENSMUSG00000069272","H2ac8"
"73710","ENSMUSG00000045136","Tubb2b"
"101056149","ENSMUSG00000086786","Gm15908"
"22017","ENSMUSG00000021376","Tpmt"
"320614","ENSMUSG00000097622","A330033J07Rik"
"373852","ENSMUSG00000074782","4833422C13Rik"
"218865","ENSMUSG00000015970","Chdh"
"20508","ENSMUSG00000100241","Slc18a3"
"320736","ENSMUSG00000050666","Vstm4"
"319508","ENSMUSG00000041479","Syt15"
"546611","ENSMUSG00000090799","Klhl33"
"258424","ENSMUSG00000094140","Olfr1512"
"17387","ENSMUSG00000000957","Mmp14"
"16475","ENSMUSG00000022178","Ajuba"
"74359","ENSMUSG00000022179","4931414P19Rik"
"57260","ENSMUSG00000040432","Ltb4r2"
"75339","ENSMUSG00000079184","Mphosph8"
"387233","ENSMUSG00000065597","Mir124a-1"
"268759","ENSMUSG00000044551","9930012K11Rik"
"213019","ENSMUSG00000022090","Pdlim2"
"213469","ENSMUSG00000033595","Lgi3"
"15460","ENSMUSG00000022096","Hr"
"381002","ENSMUSG00000115240","Gm5144"
"69659","ENSMUSG00000060530","2310069G16Rik"
"223626","ENSMUSG00000056665","Them6"
"18810","ENSMUSG00000022565","Plec"
"671535","ENSMUSG00000063268","Parp10"
"20401","ENSMUSG00000022436","Sh3bp1"
"27367","ENSMUSG00000060036","Rpl3"
"338368","ENSMUSG00000049687","Pheta2"
"102466642","ENSMUSG00000098882","Mir6392"
"102638208","ENSMUSG00000086424","Gm15569"
"70113","ENSMUSG00000047394","Odf3b"
"11883","ENSMUSG00000022620","Arsa"
"223828","ENSMUSG00000036167","Pphln1"
"22142","ENSMUSG00000072235","Tuba1a"
"80910","ENSMUSG00000063234","Gpr84"
"19090","ENSMUSG00000022672","Prkdc"
"791069","ENSMUSG00000076288","Mir301b"
"224019","ENSMUSG00000055692","Tmem191c"
"13972","ENSMUSG00000000884","Gnb1l"
"21832","ENSMUSG00000022847","Thpo"
"332175","ENSMUSG00000036304","Zdhhc23"
"56370","ENSMUSG00000022658","Tagln3"
"110749","ENSMUSG00000022945","Chaf1b"
"245305","ENSMUSG00000080717","B230307C23Rik"
"73016","ENSMUSG00000040680","Kremen2"
"224617","ENSMUSG00000036473","Tbc1d24"
"268932","ENSMUSG00000033597","Caskin1"
"18763","ENSMUSG00000032855","Pkd1"
"22084","ENSMUSG00000002496","Tsc2"
