"ENTREZID","ENSEMBL","SYMBOL"
"19888","ENSMUSG00000025900","Rp1"
"18777","ENSMUSG00000025903","Lypla1"
"108664","ENSMUSG00000033793","Atp6v1h"
"18387","ENSMUSG00000025905","Oprk1"
"12421","ENSMUSG00000025907","Rb1cc1"
"319263","ENSMUSG00000051285","Pcmtd1"
"59014","ENSMUSG00000061024","Rrs1"
"72481","ENSMUSG00000079671","2610203C22Rik"
"69312","ENSMUSG00000025916","Ppp1r42"
"211673","ENSMUSG00000067851","Arfgef1"
"329093","ENSMUSG00000042501","Cpa6"
"102465961","ENSMUSG00000098555","Mir6341"
"72265","ENSMUSG00000025935","Tram1"
"212442","ENSMUSG00000025937","Lactb2"
"381246","ENSMUSG00000067813","Xkr9"
"433273","ENSMUSG00000097711","Gm5523"
"21749","ENSMUSG00000025925","Terf1"
"98711","ENSMUSG00000025921","Rdh10"
"29819","ENSMUSG00000025920","Stau2"
"66799","ENSMUSG00000025939","Ube2w"
"67923","ENSMUSG00000079658","Eloc"
"17087","ENSMUSG00000025779","Ly96"
"14545","ENSMUSG00000025777","Gdap1"
"94227","ENSMUSG00000067780","Pi15"
"83691","ENSMUSG00000025776","Crispld1"
"102634913","ENSMUSG00000085125","Gm16070"
"654454","ENSMUSG00000070977","Defb44-ps"
"654460","ENSMUSG00000073735","Defb18"
"77673","ENSMUSG00000067773","Defb41"
"226896","ENSMUSG00000042596","Tfap2d"
"75028","ENSMUSG00000089914","4930486I03Rik"
"241035","ENSMUSG00000043760","Pkhd1"
"387202","ENSMUSG00000065559","Mir206"
"723817","ENSMUSG00000065480","Mir133b"
"257630","ENSMUSG00000041872","Il17f"
"17215","ENSMUSG00000041859","Mcm3"
"77741","ENSMUSG00000097934","6720483E21Rik"
"74229","ENSMUSG00000025931","Paqr8"
"71877","ENSMUSG00000041809","Efhc1"
"170829","ENSMUSG00000041779","Tram2"
"75712","ENSMUSG00000025933","Tmem14a"
"368204","ENSMUSG00000067750","Khdc1a"
"98582","ENSMUSG00000085079","Khdc1b"
"66755","ENSMUSG00000073730","Ppp1r14bl"
